Price,Car,Mileage,Ext_color,Int_color,Transmission,Drivetrain
3999,2011 Audi A4 2.0T Premium,124128.0,White,Black,CVT,FWD
5999,2013 Nissan Altima 2.5 SL,85057.0,Black,Gray,CVT,FWD
9798,2017 Nissan Sentra SV,23773.0,Silve,Gray,CVT,FWD
9900,2015 Nissan Sentra SR,53007.0,Red,Gray,CVT,FWD
10000,2013 Volvo S60 T5,34647.0,Black,Beige,Automatic,FWD
9500,2014 Hyundai Veloster Turbo,75575.0,Gray,Black,Manual,FWD
7274,2011 Nissan Rogue SV,88182.0,Red,Black,CVT,FWD
5500,2012 Nissan Rogue S,133580.0,Black,Black,CVT,FWD
6549,2013 Nissan Maxima SV,104573.0,Black,Gray,CVT,FWD
7914,2014 Kia Forte LX,53572.0,Silve,Black,Automatic,FWD
5991,2015 Volkswagen Jetta 2.0L S,60703.0,Black,Black,Automatic,FWD
6991,2016 Hyundai Sonata SE,81000.0,Silve,Gray,Automatic,FWD
8344,2015 Dodge Dart SXT,71962.0,Blue,Black,Automatic,FWD
8400,2015 Kia Optima LX,74800.0,Gray,Gray,Automatic,FWD
5990,2014 Nissan Altima 2.5 S,103739.0,Gray,Gray,CVT,FWD
8900,2016 Honda Civic LX,22017.0,Blue,Black,Automatic,FWD
5995,2015 Nissan Sentra S,47852.0,Black,Othe,CVT,FWD
7995,2015 Chevrolet Impala 2LZ,67785.0,Othe,Othe,Automatic,FWD
7995,2018 Nissan Altima 2.5 S,37619.0,Blue,Othe,CVT,FWD
9995,2017 GMC Acadia SLE-1,54943.0,Othe,Othe,Automatic,FWD
9995,2015 Honda Accord LX,55203.0,Othe,Othe,CVT,FWD
6995,2017 Nissan Altima 2.5 SR,49661.0,Othe,Othe,CVT,FWD
8995,2017 Kia Soul Base,20865.0,Othe,Othe,Automatic,FWD
5995,2018 Hyundai Elantra GT Base,28507.0,White,Black,Automatic,FWD
9950,2020 Toyota Corolla LE,11534.0,Black,Black,CVT,FWD
8950,2018 Dodge Charger GT,6439.0,Gray,Black,Automatic,AWD
7995,2017 Chevrolet City Express 1LT,59962.0,White,Black,CVT,FWD
6995,2016 Toyota Corolla S,46368.0,Red,Black,CVT,FWD
4995,2014 Jeep Cherokee Latitude,63817.0,Blue,Gray,Automatic,4x4/4-wheel drive
9495,2020 Nissan Rogue SV,21036.0,Black,Black,CVT,AWD
7995,2016 Honda CR-V SE,40391.0,Red,Gray,CVT,AWD
5950,2018 Toyota Corolla LE,35876.0,White,Black,CVT,FWD
9995,2019 Nissan Sentra SV,35125.0,Black,Gray,CVT,FWD
6495,2018 Hyundai Sonata SEL,22545.0,Blue,Gray,Automatic,FWD
4990,2011 BMW 328 i,99102.0,White,Beige,Automatic,RWD
9500,2014 Hyundai Veloster Turbo,59000.0,White,Black,Automatic,Unknown
5500,2013 FIAT 500 Pop,58491.0,Blue,Beige,Automatic,FWD
9991,2016 Mazda Mazda6 i Touring,47694.0,Gray,Black,Automatic,FWD
7191,2015 Volkswagen CC 2.0T R-Line,83900.0,Brown,Beige,Automatic,FWD
8990,2014 BMW 320 i,84056.0,White,Black,Automatic,RWD
6891,2017 Toyota Yaris SE,46945.0,White,Black,Automatic,FWD
6391,2017 Nissan Sentra S,65686.0,Red,Black,Automatic,FWD
6968,2016 Mazda Mazda3 i Sport,82727.0,Gray,Black,Automatic,FWD
7898,2015 Dodge Journey SXT,70332.0,White,Black,Automatic,FWD
9991,2017 Nissan Rogue S,51000.0,Silve,Gray,CVT,FWD
7995,2016 Hyundai Elantra SE,47380.0,Red,Gray,Automatic,FWD
8990,2015 FIAT 500 Abarth,84950.0,Black,Black,Automatic,FWD
8481,2014 Nissan Xterra S,115102.0,Silve,Gray,Automatic,RWD
8591,2012 Jeep Liberty Sport,58993.0,Green,Beige,Automatic,RWD
4990,2011 BMW 328 i,102214.0,Blue,Black,Other / Unknown,RWD
5990,2012 Mercedes-Benz C250,90211.0,Black,Black,Automatic,RWD
9575,2019 Nissan Versa Note SV,35540.0,Blue,Othe,CVT,FWD
9477,2019 Hyundai Elantra SEL,36284.0,Silve,Gray,Automatic,FWD
9788,2015 Kia Optima EX,52517.0,Beige,Beige,Automatic,FWD
8990,2012 Hyundai Sonata GLS,81560.0,White,Beige,Automatic,FWD
6574,2013 Nissan Sentra SR,67180.0,White,Gray,CVT,FWD
2977,2011 Honda Civic LX-S,65521.0,Othe,Black,Automatic,FWD
3977,2012 Toyota Yaris L,147709.0,Othe,Gray,Automatic,FWD
9798,2016 Nissan Sentra SL,54428.0,Blue,Gray,CVT,FWD
9997,2016 Nissan Altima 2.5 S,59943.0,Black,Gray,CVT,FWD
7498,2015 Nissan Sentra FE+ S,55726.0,Gray,Gray,CVT,FWD
7798,2014 Hyundai Elantra SE,47555.0,Red,Beige,Automatic,FWD
9977,2015 Toyota RAV4 LE,64567.0,Othe,Othe,Automatic,FWD
4600,2012 Hyundai Sonata GLS,117458.0,Black,Beige,Automatic,FWD
5600,2012 Nissan Rogue S,75183.0,Black,Othe,CVT,AWD
8100,2016 Dodge Journey Crossroad,103297.0,Red,Black,Automatic,FWD
5700,2013 Nissan Altima 2.5 S,99568.0,White,Black,Automatic,FWD
9575,2017 Hyundai Accent SE,50310.0,Black,Gray,Automatic,FWD
6984,2013 Hyundai Elantra GLS,89190.0,Gray,Gray,Automatic,FWD
7000,2011 Volkswagen Jetta SE,84300.0,White,Black,Automatic,FWD
9995,2012 Scion tC,64753.0,Red,Gray,Manual,FWD
8994,2016 Nissan Sentra SV,29411.0,Black,Gray,CVT,FWD
8760,2015 Dodge Journey SXT,75513.0,White,Black,Automatic,FWD
7080,2015 Hyundai Sonata SE,92449.0,Gray,Gray,Automatic,FWD
6999,2013 Lincoln MKZ Base,155638.0,Red,Black,Automatic,FWD
5888,2010 Kia Forte Koup SX,104419.0,Red,Black,Manual,FWD
9888,2016 Nissan Versa Note SR,42233.0,Black,Gray,CVT,FWD
9998,2015 FIAT 500L Urbana Trekking,25519.0,Blue,Black,Automatic,FWD
8500,2013 BMW 328 i xDrive,52167.0,Black,Beige,Automatic,AWD
7900,2012 Toyota Camry SE,81089.0,Black,Gray,Automatic,FWD
9995,2011 Nissan Maxima SV,68170.0,Silve,Othe,CVT,FWD
8495,2016 Dodge Journey SXT,97793.0,Gray,Gray,Automatic,FWD
2500,2012 Volkswagen CC Sport,114224.0,Beige,Black,Automanual,4x2/2-wheel drive
9995,2015 Chevrolet Cruze 1LT,43355.0,Blue,Black,Automatic,FWD
